                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.99011,                0.94533,                 1.2239,                0.96417,                0.97013,                0.99226,                0.78857,                0.73745,                 0.5404,                 1.1464,             0.00074558,             0.00074558,             0.00074558
                    109,                0.95549,                0.72365,                 1.1703,                 0.9621,                0.97553,                0.99237,                0.78484,                0.75931,                0.53913,                 1.1542,             0.00074476,             0.00074476,             0.00074476
                    110,                0.80201,                 0.7944,                 1.1581,                0.92794,                0.96203,                0.98979,                0.78532,                0.73948,                0.54211,                   1.14,             0.00074394,             0.00074394,             0.00074394
                    111,                0.92181,                0.83782,                 1.2621,                0.92039,                0.97411,                0.99023,                0.79744,                0.71579,                0.53648,                 1.1199,             0.00074311,             0.00074311,             0.00074311
                    112,                0.83993,                0.64523,                 1.1664,                0.94709,                0.98792,                0.98683,                0.79041,                0.72533,                0.53691,                 1.1289,             0.00074229,             0.00074229,             0.00074229
                    113,                0.96725,                 0.6995,                 1.2166,                0.96303,                0.99415,                0.98459,                0.79052,                0.71184,                0.52034,                 1.1213,             0.00074146,             0.00074146,             0.00074146
                    114,                0.86205,                0.65671,                 1.1786,                0.93753,                0.98098,                 0.9783,                 0.7962,                0.68058,                 0.5127,                 1.1041,             0.00074064,             0.00074064,             0.00074064
                    115,                0.82554,                0.62781,                  1.179,                0.91006,                0.93915,                0.98352,                0.79054,                 0.7032,                0.54271,                 1.1206,             0.00073981,             0.00073981,             0.00073981
                    116,                0.89253,                0.71258,                 1.1387,                0.92156,                0.94734,                0.98588,                0.78795,                0.72907,                0.56092,                  1.129,             0.00073899,             0.00073899,             0.00073899
                    117,                0.96632,                0.77851,                 1.2857,                0.92567,                0.96419,                0.97967,                 0.7801,                0.74734,                0.55766,                 1.1282,             0.00073816,             0.00073816,             0.00073816
                    118,                0.98696,                0.70486,                 1.3766,                0.95015,                0.95787,                0.98344,                0.79349,                0.71438,                0.54615,                 1.1115,             0.00073734,             0.00073734,             0.00073734
                    119,                0.78871,                0.65526,                 1.0793,                0.95814,                0.99138,                0.98981,                0.80367,                0.70967,                0.52221,                 1.1176,             0.00073651,             0.00073651,             0.00073651
                    120,                0.87498,                0.66121,                 1.1875,                 0.9653,                0.99503,                0.99218,                0.79546,                0.71725,                 0.5268,                 1.1273,             0.00073569,             0.00073569,             0.00073569
                    121,                0.87661,                0.62559,                 1.2647,                0.95112,                0.96886,                0.98908,                0.79188,                0.72321,                0.53579,                 1.1367,             0.00073486,             0.00073486,             0.00073486
                    122,                0.82808,                 0.6172,                 1.1156,                 0.9767,                0.95717,                0.98786,                 0.7905,                0.71351,                 0.5366,                 1.1267,             0.00073404,             0.00073404,             0.00073404
                    123,                 1.3873,                 1.2628,                 1.4519,                0.95144,                0.96328,                0.98186,                0.80054,                0.72012,                0.56954,                 1.1178,             0.00073321,             0.00073321,             0.00073321
                    124,                0.88032,                 0.6749,                 1.1583,                0.95559,                0.96054,                0.98027,                 0.8024,                0.70164,                0.55961,                 1.1062,             0.00073239,             0.00073239,             0.00073239
                    125,                0.81253,                0.64668,                 1.1407,                0.94496,                 0.9567,                0.98124,                0.78767,                0.71244,                0.52916,                 1.1213,             0.00073157,             0.00073157,             0.00073157
                    126,                0.81709,                0.96007,                 1.2092,                0.86075,                0.94666,                0.98394,                0.77665,                 0.7489,                0.57514,                 1.1397,             0.00073074,             0.00073074,             0.00073074
                    127,                0.81794,                0.60984,                 1.1425,                 0.8334,                0.93465,                0.97042,                0.78521,                0.69235,                0.59801,                 1.1096,             0.00072992,             0.00072992,             0.00072992
                    128,                 0.7948,                0.72442,                 1.1704,                0.87532,                0.91205,                0.98499,                0.78439,                0.74719,                0.58695,                  1.126,             0.00072909,             0.00072909,             0.00072909
                    129,                0.87925,                0.60244,                 1.1388,                0.90747,                0.94747,                0.98533,                0.77929,                0.76321,                0.58066,                 1.1233,             0.00072827,             0.00072827,             0.00072827
                    130,                0.89429,                0.86655,                 1.2685,                 0.9385,                0.93211,                0.97678,                0.79052,                0.70131,                0.55424,                 1.0982,             0.00072744,             0.00072744,             0.00072744
                    131,                0.82987,                0.65221,                 1.0983,                0.91072,                0.95495,                0.98637,                0.79086,                0.73865,                0.53341,                  1.126,             0.00072662,             0.00072662,             0.00072662
                    132,                0.87258,                0.62798,                 1.1377,                0.90361,                0.96435,                0.98349,                0.76943,                0.75831,                 0.5678,                 1.1349,             0.00072579,             0.00072579,             0.00072579
                    133,                 1.0027,                0.67994,                 1.3196,                 0.9353,                0.92699,                0.96927,                0.76991,                0.72322,                0.58868,                 1.1181,             0.00072497,             0.00072497,             0.00072497
